model_name,lf_type,n_good_lfs,n_lfs,run_id,good_mean,good_std,bad_mean,bad_std,total_mean,total_std,acc,mcc
weasel,bad,5,6,0,1.5749667,0.2521849,1.4513817,0.49345502,1.5075568,0.40683115,0.646,0.5618847814857179
weasel,bad,5,7,0,1.6019728,0.15162586,1.3300923,0.45514742,1.4433757,0.3852124,0.666,0.583525715017087
weasel,bad,5,8,0,1.8063104,0.75968456,1.1245254,0.28090107,1.3867503,0.61688393,0.564,0.4565096645466025
weasel,bad,5,9,0,1.7588075,0.18589139,1.101583,0.09750766,1.3363062,0.3429639,0.596,0.49541299937821204
weasel,bad,5,10,0,1.8832601,0.45913035,0.9948616,0.17880225,1.2909944,0.5166911,0.674,0.5928165461932522
weasel,bad,5,15,0,1.7861681,0.6252819,0.89532256,0.5035673,1.118034,0.66085577,0.723,0.6547590068843535
weasel,bad,5,20,0,1.8867441,0.9866996,0.778314,0.24623127,1.0,0.66317254,0.739,0.6747781555890527
weasel,bad,5,25,0,1.7193712,0.6588118,0.7515708,0.3332092,0.9128708,0.5430939,0.676,0.5951462318634008
weasel,bad,5,50,0,2.4839299,0.72423416,0.4932269,0.2667362,0.67419994,0.66323113,0.84,0.800860935563588
weasel,bad,5,75,0,2.60714,1.0791992,0.42247546,0.35034433,0.559017,0.68375117,0.815,0.7689089323300874
weasel,bad,5,100,0,2.9059994,1.6061457,0.36704755,0.26474,0.48795,0.6942197,0.653,0.5679190158653321
weasel,random,5,0,0,2.236068,0.6610563,,,2.236068,0.6610563,0.999,0.9987504925493486
weasel,random,5,1,0,1.9868902,0.48768595,2.3129976,0.0,2.0412414,0.46148485,0.999,0.998749846815536
weasel,random,5,2,0,1.6123711,0.08482997,2.583451,0.004575968,1.8898224,0.44451582,0.997,0.9962462437088945
weasel,random,5,3,0,1.6137307,0.20113815,2.0244942,0.043036677,1.767767,0.25597897,1.0,1.0
weasel,random,5,4,0,1.6204525,0.32943946,1.7244344,0.018957654,1.6666666,0.251245,0.994,0.9925387834063696
weasel,random,5,5,0,1.3183746,0.17009309,1.843903,0.045392275,1.5811388,0.2907594,1.0,1.0
weasel,random,5,6,0,1.7423471,0.23504221,1.3118981,0.041875523,1.5075569,0.2683403,1.0,1.0
weasel,random,5,7,0,1.2454783,0.098745525,1.584731,0.019255904,1.4433757,0.17959101,0.993,0.9912731355167268
weasel,random,5,8,0,2.157084,1.0663812,0.905292,0.024861375,1.3867505,0.8992423,0.998,0.9974994337750773
