lf_type,n_lfs,seed,good_mean,bad_mean
bad,8,6,1.7153708934783936,1.1813627481460571
bad,8,7,1.5600626468658447,1.2784302234649658
bad,8,8,1.9288839101791382,1.0479168891906738
bad,8,9,1.747044324874878,1.1615667343139648
bad,9,0,1.7588077783584595,1.1015830039978027
bad,9,1,1.7288949489593506,1.1182013750076294
bad,9,2,1.79986572265625,1.078773021697998
bad,9,3,1.5466396808624268,1.219454288482666
bad,9,4,1.6734168529510498,1.1490224599838257
bad,9,5,1.871474027633667,1.0389904975891113
bad,9,6,1.9197607040405273,1.0121647119522095
bad,9,7,1.7004200220108032,1.1340206861495972
bad,9,8,1.828142523765564,1.0630637407302856
bad,9,9,1.8705507516860962,1.039503574371338
random,0,0,2.2360680103302,
random,0,1,2.2360680103302,
random,0,2,2.2360680103302,
random,0,3,2.2360680103302,
random,0,4,2.2360680103302,
random,0,5,2.2360680103302,
random,0,6,2.2360680103302,
random,0,7,2.2360680103302,
random,0,8,2.2360680103302,
random,0,9,2.2360682487487793,
random,1,0,1.986890435218811,2.312997579574585
random,1,1,1.9017493724822998,2.738701820373535
random,1,2,1.8068745136260986,3.213075637817383
random,1,3,1.9394056797027588,2.5504207611083984
random,1,4,1.7617521286010742,3.438687801361084
random,1,5,1.9146373271942139,2.674262762069702
random,1,6,1.9005944728851318,2.744476556777954
random,1,7,1.8452211618423462,3.0213429927825928
random,1,8,1.866967797279358,2.9126105308532715
random,1,9,1.9901707172393799,2.296595573425293
random,2,0,1.6123701333999634,2.5834527015686035
random,2,1,1.7211660146713257,2.3114635944366455
random,2,2,1.84847891330719,1.9931813478469849
random,2,3,1.7504503726959229,2.238252639770508
random,2,4,1.9193207025527954,1.8160762786865234
random,2,5,1.882525086402893,1.9080657958984375
random,2,6,1.8801807165145874,1.9139267206192017
random,2,7,1.7947266101837158,2.1275625228881836
random,2,8,1.895851492881775,1.8747494220733643
random,2,9,1.8035945892333984,2.1053922176361084
random,3,0,1.6137336492538452,2.024489164352417
random,3,1,1.5556522607803345,2.121291399002075
random,3,2,1.7677066326141357,1.7678672075271606
random,3,3,1.678457260131836,1.9166165590286255
random,3,4,1.6843373775482178,1.9068161249160767
random,3,5,1.907680869102478,1.5345768928527832
random,3,6,1.725318193435669,1.8385149240493774
random,3,7,1.7943061590194702,1.7235345840454102
random,3,8,1.8435008525848389,1.6415437459945679
random,3,9,1.8946201801300049,1.556344985961914
random,4,0,1.6204525232315063,1.7244343757629395
random,4,1,1.8479816913604736,1.4400231838226318
random,4,2,1.4297568798065186,1.9628039598464966
random,4,3,1.494474172592163,1.881907343864441
random,4,4,1.6760683059692383,1.654914379119873
random,4,5,1.5763442516326904,1.7795698642730713
random,4,6,1.6873054504394531,1.6408681869506836
random,4,7,1.7348129749298096,1.5814839601516724
random,4,8,1.6933447122573853,1.6333192586898804
random,4,9,1.7421032190322876,1.5723708868026733
random,5,0,1.3183746337890625,1.8439029455184937
random,5,1,1.583557367324829,1.5787203311920166
random,5,2,1.9245226383209229,1.2377550601959229
random,5,3,1.5305757522583008,1.6317018270492554
random,5,4,1.903454065322876,1.2588236331939697
random,5,5,1.3222370147705078,1.8400405645370483
random,5,6,1.392305612564087,1.7699720859527588
random,5,7,1.4903295040130615,1.6719480752944946
random,5,8,1.54804265499115,1.6142349243164062
random,5,9,1.6187822818756104,1.5434954166412354
random,6,0,1.7423522472381592,1.3118938207626343
random,6,1,1.9185683727264404,1.1650469303131104
random,6,2,1.4756951332092285,1.53410804271698
random,6,3,1.26120924949646,1.712846279144287
random,6,4,1.6875016689300537,1.357602596282959
random,6,5,1.842401146888733,1.2285199165344238
