lf_type,n_lfs,seed,good_mean,bad_mean
bad,7,4,0.640212647054162,0.6989388812716272
bad,7,5,0.11034604269730178,0.11784340288740117
bad,7,6,0.36615501963189595,0.38857368846927937
bad,7,7,0.5212856355621179,0.5644259104060393
bad,7,8,0.5375856620467708,0.5883044330946611
bad,7,9,0.22119149699862867,0.2359219213868427
bad,8,0,0.5051053463840832,0.5802733077840427
bad,8,1,0.11258939526864069,0.12503612586394167
bad,8,2,0.11627249372406986,0.12719679844831536
bad,8,3,0.6593749397530028,0.7568442823696777
bad,8,4,0.6443228510584245,0.7443073265575489
bad,8,5,0.1117242614245818,0.12191799879981023
bad,8,6,0.36623323323659757,0.40175460578463273
bad,8,7,0.5234965556128905,0.5901944100233951
bad,8,8,0.44911969117827083,0.5138945818921951
bad,8,9,0.222326797962788,0.24401437119824818
bad,9,0,0.5136780100546233,0.6061733567585655
bad,9,1,0.1162731291096157,0.12980398210136182
bad,9,2,0.6048283475570985,0.7351281478274823
bad,9,3,0.6280263831165215,0.7740988323531272
bad,9,4,0.51777418616722,0.6108595568456064
bad,9,5,0.1136422463007039,0.12594917431207237
bad,9,6,0.36510309329479773,0.4170785409760117
bad,9,7,0.5213768853622696,0.6188912331331468
bad,9,8,0.4523235151079986,0.5348880438583111
bad,9,9,0.224574834320241,0.25342141067258744
random,0,0,0.4657272284444316,
random,0,1,0.4784675715755733,
random,0,2,0.08607591053194477,
random,0,3,0.3117141537401137,
random,0,4,0.17763796212568866,
random,0,5,0.24426624049638912,
random,0,6,0.1339921922938183,
random,0,7,0.20877169220773015,
random,0,8,0.5490105022451697,
random,0,9,0.687513165432845,
random,1,0,0.22995844261939666,0.19514577277676315
random,1,1,0.5037156532088336,0.42099812990301144
random,1,2,0.5927082845272761,0.5035775699226326
random,1,3,0.4658011326966574,0.39431717298378954
random,1,4,0.6304559720760681,0.5177449550089497
random,1,5,0.7384312473419691,0.6034508735534114
random,1,6,0.24518529513912574,0.2078345354154405
random,1,7,0.7256949711722506,0.6007026637303516
random,1,8,0.5215759743094974,0.4339298956022444
random,1,9,0.19510334135198568,0.16827334899365853
random,2,0,0.40056139021767645,0.34096386878436724
random,2,1,0.27225450970040876,0.23005140839184912
random,2,2,0.5761899552236928,0.4813897268490017
random,2,3,0.07043106805679164,0.06546453947242797
random,2,4,0.6951021894289194,0.5720416742731831
random,2,5,0.4000933387176886,0.33507824558730115
random,2,6,0.47126904328754315,0.3929818098439297
random,2,7,0.5199978262433417,0.431496901913913
random,2,8,0.34402104936372685,0.29264550814650936
random,2,9,0.6263516592001341,0.5189960906486557
random,3,0,0.4561171495421896,0.3804019663273692
random,3,1,0.3512787072599526,0.2982463532079385
random,3,2,0.4855495870596752,0.40924080502469584
random,3,3,0.08852047168238937,0.08030298858435825
random,3,4,0.6979730543418805,0.5744952790992421
random,3,5,0.6629372289100264,0.5474130015193035
random,3,6,0.6690007705749441,0.5583504721734766
random,3,7,0.09751081560858406,0.08734982137290921
random,3,8,0.45779494031325063,0.38779919024572296
random,3,9,0.10181324848276319,0.09038563666569281
random,4,0,0.5974950586587703,0.5040037156915412
random,4,1,0.600989593470769,0.504340641189861
random,4,2,0.6706910724953691,0.5557132535089344
random,4,3,0.4563253226926417,0.38652802226993965
random,4,4,0.6192686177591046,0.5135829039857758
random,4,5,0.34672033243201816,0.29323831736723316
random,4,6,0.6727306270150354,0.5641159361206176
random,4,7,0.6443471885559378,0.534979481006604
random,4,8,0.6062615275042524,0.5004887338002133
random,4,9,0.7264423398808741,0.5971097541879402
random,5,0,0.6759329178306823,0.5601884638222213
random,5,1,0.6543921595428943,0.5385675037757629
random,5,2,0.5204210037713942,0.4382825505193047
random,5,3,0.13240546685699753,0.11824734148761706
random,5,4,0.6653754590584458,0.5480838299538643
random,5,5,0.2446213899299047,0.208801517203756
random,5,6,0.630453067970447,0.5241266553959679
random,5,7,0.2473286264483913,0.21176833618921206
random,5,8,0.3422322486037149,0.29132909208849506
random,5,9,0.3416321831530656,0.2920672715276683
random,6,0,0.24865843069912827,0.2127905546585743
random,6,1,0.5295157756325802,0.44440709129275846
random,6,2,0.5019470791348675,0.42238090967884334
random,6,3,0.40441282850034976,0.3477824916591737
random,6,4,0.3271599367525339,0.2773847630359696
random,6,5,0.6559783903277419,0.5407093449253946
random,6,6,0.2827336665389148,0.24775957937399726
random,6,7,0.10027793675333514,0.08989846162902272
random,6,8,0.3556963571840024,0.3020133606955802
random,6,9,0.6599460984665365,0.544120532926394
random,7,0,0.04806951456573355,0.04646674121199827
random,7,1,0.4531173969992507,0.387408763133171
random,7,2,0.5932853962441064,0.4978063677944151
random,7,3,0.7080479940547789,0.5785879459024738
random,7,4,0.1742350654996246,0.15138522066799448
random,7,5,0.6047005099699707,0.508031956402284
random,7,6,0.7172131987746486,0.5804624641169911
random,7,7,0.645518454613998,0.5342070944618003
random,7,8,0.6792528340731676,0.5642009577880306
random,7,9,0.12017887233964704,0.10651628207376795
random,8,0,0.2161505243781825,0.1905208223703133
random,8,1,0.491507169792395,0.42621495035397156
