lf_type,n_lfs,seed,good_mean,bad_mean
constant,4,8,0.9287282777039311,0.883812527599298
constant,4,9,0.9236176134649463,0.8869321529953631
constant,5,0,0.9027077502946161,0.9127383735117173
constant,5,1,0.9088174142260683,0.9112359661237337
constant,5,2,0.9025110034247341,0.9129641639007351
constant,5,3,0.8924462625768301,0.9142128307261326
constant,5,4,0.9069103640039599,0.9120567729467357
constant,5,5,0.9101831688795459,0.9107948402781867
constant,5,6,0.9037155863886251,0.9125331543670819
constant,5,7,0.9079029554584828,0.9110859976652594
constant,5,8,0.9035597573856362,0.9103404526384576
constant,5,9,0.9014612822149639,0.9125030411264217
constant,6,0,0.8927311973158909,0.9291463486796677
constant,6,1,0.8871733933920709,0.9293840679806445
constant,6,2,0.8884156689560448,0.9298664532246473
constant,6,3,0.8793457083626995,0.9310283815565993
constant,6,4,0.8917771903118629,0.9289997824714832
constant,6,5,0.8899349347096255,0.9288784810820149
constant,6,6,0.871537457729014,0.9323514506008787
constant,6,7,0.8893967291028853,0.9288394429804511
constant,6,8,0.8893680571533118,0.9290792224309866
constant,6,9,0.8897948622456495,0.9291727838936074
constant,7,0,0.8696885469411372,0.9428376955270894
constant,7,1,0.8656182488028975,0.9432607748106732
constant,7,2,0.869979115002649,0.9430893079380499
constant,7,3,0.8727373883477574,0.9423915516593312
constant,7,4,0.8758348037624742,0.9419689727677955
constant,7,5,0.8679363808824186,0.9425783980652306
constant,7,6,0.8774638604048537,0.942168903300417
constant,7,7,0.8739136786573798,0.9427046798559717
constant,7,8,0.8666770509592793,0.9430286185301904
constant,7,9,0.8757797638789062,0.941750809603466
constant,8,0,0.8500355586127357,0.9534018769613526
constant,8,1,0.8428296166668678,0.9536500061747979
constant,8,2,0.8516523398524157,0.9532468600516358
constant,8,3,0.8616306047218005,0.9520849679346781
constant,8,4,0.8596373039180015,0.9518612271486839
constant,8,5,0.8548907038048104,0.9520932886841788
constant,8,6,0.858885482430298,0.9522621308511434
constant,8,7,0.8621480732188862,0.9513434951479545
constant,8,8,0.8532595645371659,0.9524028711074581
constant,8,9,0.8585083787464182,0.9519502538080964
constant,9,0,0.8465061118242241,0.9597197733258758
constant,9,1,0.848109251231878,0.9591197944564763
constant,9,2,0.8434201019187721,0.960112443974042
constant,9,3,0.8341633518095639,0.9608657761202917
constant,9,4,0.8500773421072024,0.9591204222625742
constant,9,5,0.8473389733381923,0.9591558193865636
constant,9,6,0.8415428976422495,0.9602699608237519
constant,9,7,0.849329533033818,0.9589442404265855
constant,9,8,0.8447349897441443,0.959484370972857
constant,9,9,0.8468228822429706,0.9594517196184833
